School_Number,School_Name,Tested_Count,Level_1,Level_2,Level_3,Level_4,Level_5,Grade,Attend_Rate_Pct,Withdrawals_Pct,Entrants_Pct,FARMS_Pct,Management_type,charter,pass,Enrolled_Count
13,Tench Tilghman Elementary,27,18,6,3,0,0,Grade 4,97.5,24.1,20.5,78.2,Traditional,0,3,404
67,Edgewood Elementary,27,11,9,4,3,0,Grade 4,90.3,23,22.4,70.6,Traditional,0,7,219
97,Collington Square Elementary,27,12,11,4,0,0,Grade 5,85.9,18.3,25.2,84.7,Traditional,0,4,340
225,Westport Academy,27,13,9,3,2,0,Grade 5,90.8,23.1,22.1,80.1,Traditional,0,5,319
261,Lockerman Bundy Elementary,27,4,8,9,6,0,Grade 5,91.4,20.3,20.3,76.3,Traditional,0,15,265
332,The Green School,27,3,7,7,10,0,Grade 4,97.5,2.5,2.5,17.6,Charter,1,17,161
31,Coldstream Park Elementary,27,21,6,0,0,0,Grade 4,89.2,23.8,18.4,65.9,Traditional,0,0,266
28,William Pinderhughes Elementary,28,15,9,2,2,0,Grade 4,90.5,29.4,22,72.9,Traditional,0,4,263
50,Abbottston Elementary,28,8,4,9,7,0,Grade 4,92.4,18.6,14.6,74.8,Traditional,0,16,224
107,Gilmor Elementary,28,17,7,4,0,0,Grade 4,88.2,18.6,26.4,83.3,Traditional,0,4,264
254,"Dr. Martin Luther King, Jr. Elementary",28,9,10,5,4,0,Grade 3,88.4,16.8,21.7,79.9,Traditional,0,9,306
55,Hampden,29,0,6,8,15,0,Grade 5,94,6,8.3,33.8,Traditional,0,23,449
76,Francis Scott Key ElementaryMiddle,29,0,2,6,13,8,Grade 3,94.9,5.5,11.5,17.6,Traditional,0,27,439
50,Abbottston Elementary,30,3,7,7,13,0,Grade 5,92.4,18.6,14.6,74.8,Traditional,0,20,224
97,Collington Square Elementary,30,19,7,4,0,0,Grade 4,85.9,18.3,25.2,84.7,Traditional,0,4,340
214,Guilford ElementaryMiddle,30,12,13,5,0,0,Grade 5,89.3,21.7,26.2,68.9,Traditional,0,5,311
225,Westport Academy,30,6,10,9,5,0,Grade 3,90.8,23.1,22.1,80.1,Traditional,0,14,319
251,Callaway Elementary,30,8,9,9,4,0,Grade 5,91.5,22.9,19.3,70,Traditional,0,13,334
23,Wolfe Street Academy,30,5,8,8,9,0,Grade 3,97.5,5.6,2.5,62.2,Charter,1,17,235
330,Northwood Appold Community Academy,30,8,6,8,5,3,Grade 5,93,16.4,2.5,48.8,Charter,1,16,193
379,Roots and Branches School,30,22,6,2,0,0,Grade 3,91.6,33.9,7.2,68.8,Charter,1,2,156
22,George Washington Elementary,31,6,14,6,5,0,Grade 5,90.8,18.4,10.6,70.5,Traditional,0,11,259
50,Abbottston Elementary,31,12,12,3,4,0,Grade 3,92.4,18.6,14.6,74.8,Traditional,0,7,224
55,Hampden,31,4,5,12,10,0,Grade 4,94,6,8.3,33.8,Traditional,0,22,449
107,Gilmor Elementary,31,20,11,0,0,0,Grade 5,88.2,18.6,26.4,83.3,Traditional,0,0,264
144,James Mosher Elementary,31,15,11,5,0,0,Grade 4,89.8,13.5,17.4,79.7,Traditional,0,5,251
145,Alexander Hamilton Elementary,31,18,10,3,0,0,Grade 4,87.9,22.6,19.9,83.3,Traditional,0,3,223
164,Arundel ElementaryMiddle,31,14,8,6,3,0,Grade 3,89.7,15.1,17.1,79.2,Traditional,0,9,343
205,Woodhome ElementaryMiddle,31,9,9,9,4,0,Grade 4,93.6,16.3,17.6,39.3,Traditional,0,13,376
214,Guilford ElementaryMiddle,31,18,4,7,2,0,Grade 4,89.3,21.7,26.2,68.9,Traditional,0,9,311
214,Guilford ElementaryMiddle,31,15,12,4,0,0,Grade 3,89.3,21.7,26.2,68.9,Traditional,0,4,311
254,"Dr. Martin Luther King, Jr. Elementary",31,15,9,4,3,0,Grade 4,88.4,16.8,21.7,79.9,Traditional,0,7,306
23,Wolfe Street Academy,31,4,9,9,9,0,Grade 5,97.5,5.6,2.5,62.2,Charter,1,18,235
330,Northwood Appold Community Academy,31,9,14,8,0,0,Grade 4,93,16.4,2.5,48.8,Charter,1,8,193
224,Grove Park Elementary,31,12,14,5,0,0,Grade 5,90.6,16.8,26,55.2,Traditional,0,5,260
10,James McHenry Elementary,32,14,12,6,0,0,Grade 5,88.9,23.3,26.2,84.5,Traditional,0,6,389
201,Dickey Hill ElementaryMiddle,32,10,6,11,5,0,Grade 5,92.8,16.4,24,49.8,Traditional,0,16,383
223,Pimlico Elementary,32,20,8,4,0,0,Grade 4,91,45.2,37.2,70.4,Traditional,0,4,317
225,Westport Academy,32,24,4,2,2,0,Grade 4,90.8,23.1,22.1,80.1,Traditional,0,4,319
160,Dr. Carter Godwin Woodson,32,27,3,2,0,0,Grade 3,91.4,28.6,18.4,76.4,Traditional,0,2,361
11,EutawMarshburn Elementary,33,14,14,5,0,0,Grade 5,92.8,20.2,15.3,85.3,Traditional,0,5,296
67,Edgewood Elementary,33,7,18,6,2,0,Grade 5,90.3,23,22.4,70.6,Traditional,0,8,219
134,Walter P. Carter Elementary,33,20,11,2,0,0,Grade 4,93.6,23.1,21.7,70,Traditional,0,2,334
254,"Dr. Martin Luther King, Jr. Elementary",33,16,14,3,0,0,Grade 5,88.4,16.8,21.7,79.9,Traditional,0,3,306
262,Empowerment Academy,33,0,8,12,13,0,Grade 4,93.6,2.5,10.8,47.5,Charter,1,25,252
336,Baltimore Montessori Public Charter School,33,12,2,12,7,0,Grade 4,94.8,11.5,5.4,32.5,Charter,1,19,452
10,James McHenry Elementary,34,20,7,5,2,0,Grade 4,88.9,23.3,26.2,84.5,Traditional,0,7,389
16,Johnston Square Elementary,34,16,11,5,2,0,Grade 4,90.5,26.8,22.1,82,Traditional,0,7,336
35,Harlem Park Elementary,34,24,10,0,0,0,Grade 4,90.3,21.5,11,85,Traditional,0,0,334
39,Dallas F. Nicholas Sr. Elementary,34,15,13,6,0,0,Grade 4,87.7,14.7,17.7,70.9,Traditional,0,6,274
62,Edgecombe Circle Elementary,34,19,13,2,0,0,Grade 4,87.5,41.1,27.3,72.9,Traditional,0,2,293
145,Alexander Hamilton Elementary,34,22,6,6,0,0,Grade 5,87.9,22.6,19.9,83.3,Traditional,0,6,223
164,Arundel ElementaryMiddle,34,26,6,2,0,0,Grade 5,89.7,15.1,17.1,79.2,Traditional,0,2,343
